OFF_index,OFF_SeasonID,OFF_Total Points Per Game,OFF_Total Points,OFF_Total Touchdowns,OFF_Total 1st downs,OFF_Rushing 1st downs,OFF_Passing 1st downs,OFF_1st downs by penalty,OFF_3rd down efficiency,OFF_3rd down %,OFF_4th down efficiency,OFF_4th down %,OFF_Comp-Att,OFF_Net Passing Yards,OFF_Yards Per Pass Attempt,OFF_Net Passing Yards Per Game,OFF_Passing Touchdowns,OFF_Interceptions,OFF_Sacks-Yards Lost,OFF_Rushing Attempts,OFF_Rushing Yards,OFF_Yards Per Rush Attempt,OFF_Rushing Yards Per Game,OFF_Rushing Touchdowns,OFF_Total Offensive Plays,OFF_Total Yards,OFF_Yards Per Game,OFF_Kickoffs: Total,OFF_Average Kickoff Return Yards,OFF_Punt: Total,OFF_Average Punt Return Yards,OFF_INT: Total,OFF_Average Interception Yards,OFF_Net Average Punt Yards,OFF_Punt: Total Yards,OFF_FG: Good-Attempts,OFF_Touchback Percentage,OFF_Total-Yards,OFF_Avg. Per Game (YDS),OFF_Possession Time Seconds,OFF_Fumbles-Lost,OFF_Turnover Ratio,OFF_Games,OFF_Year,DEF_index,DEF_Total Points Per Game,DEF_Total Points,DEF_Total Touchdowns,DEF_Total 1st downs,DEF_Rushing 1st downs,DEF_Passing 1st downs,DEF_1st downs by penalty,DEF_3rd down efficiency,DEF_3rd down %,DEF_4th down efficiency,DEF_4th down %,DEF_Comp-Att,DEF_Net Passing Yards,DEF_Yards Per Pass Attempt,DEF_Net Passing Yards Per Game,DEF_Passing Touchdowns,DEF_Interceptions,DEF_Sacks-Yards Lost,DEF_Rushing Attempts,DEF_Rushing Yards,DEF_Yards Per Rush Attempt,DEF_Rushing Yards Per Game,DEF_Rushing Touchdowns,DEF_Total Offensive Plays,DEF_Total Yards,DEF_Yards Per Game,DEF_Kickoffs: Total,DEF_Average Kickoff Return Yards,DEF_Punt: Total,DEF_Average Punt Return Yards,DEF_INT: Total,DEF_Average Interception Yards,DEF_Net Average Punt Yards,DEF_Punt: Total Yards,DEF_FG: Good-Attempts,DEF_Touchback Percentage,DEF_Total-Yards,DEF_Avg. Per Game (YDS),DEF_Possession Time Seconds,DEF_Fumbles-Lost,DEF_Turnover Ratio,DEF_Games
0,Offense--ari-2004,17.6,282,31,280,86,152,42,84-241,34.86,5-12,41.67,299-533,2882,6.0,180.1,14,18,39-320,475,1668,3.5,104.3,15,1047,4870,304.4,"46-1,017",22.1,49-329,8.7,15-214,14.3,38.2,"98-4,230",22-29,33,124-948,59,31:12,32-9,0,16,2004,1,16.1,322,35,282,101,153,28,66-209,31.58,8-14,57.14,271-505,3036,6.5,189.8,18,15,38-229,450,2105,4.7,131.6,12,993,5370,335.6,"65-1,293",19.9,56-486,6.7,18-263,14.6,38.9,"96-4,064",25-26,12,"139-1,121",70.063,29:24,30-14,0,16
2,Offense--ari-2005,19.4,311,26,304,58,224,22,91-239,38.08,5-16,31.25,419-670,4437,7.0,277.3,21,21,45-286,360,1138,3.2,71.1,2,1075,5861,366.3,"60-1,700",28.3,50-383,8.4,15-285,19.0,39.4,"73-3,206",43-45,27,"145-1,184",74,31:19,25-14,0,16,2005,3,18.4,387,46,272,83,158,31,67-196,34.18,4-11,36.36,301-488,3097,6.8,193.6,17,15,37-217,411,1632,4.0,102.0,22,936,4946,309.1,"76-1,719",22.6,39-328,7.7,21-334,15.9,39.6,"85-3,752",21-24,6,103-819,51.188,28:40,23-11,0,16
4,Offense--ari-2006,19.6,314,33,298,84,187,27,83-212,39.15,10-15,66.67,322-545,3662,7.2,228.9,17,17,35-262,419,1338,3.2,83.6,12,999,5262,328.9,"58-1,481",25.5,25-250,12.8,16-350,21.9,36.4,"66-2,965",28-37,22,117-937,58,29:58,30-10,0,16,2006,5,18.5,389,42,331,114,186,31,83-201,41.29,7-15,46.67,321-522,3694,7.5,230.9,21,16,38-238,458,1897,4.1,118.6,16,1018,5829,364.3,"73-1,610",22.1,44-562,10.0,17-110,6.5,40.4,"58-2,596",31-34,13,95-815,50.938,30:01,28-17,0,16
6,Offense--ari-2007,25.3,404,49,308,70,210,28,75-203,36.95,12-14,85.71,356-590,4065,7.2,254.1,32,24,24-163,402,1440,3.6,90.0,9,1016,5668,354.3,"60-1,389",23.2,42-395,13.1,18-551,30.6,34.2,"79-3,198",21-30,21,"137-1,128",70,30:39,26-11,0,16,2007,7,19.0,399,45,298,90,185,23,87-218,39.91,7-15,46.67,361-570,3716,6.9,232.3,26,18,36-242,407,1567,3.9,97.9,13,1013,5525,345.3,"74-1,682",22.7,38-496,9.4,24-380,15.8,38.2,"73-3,181",28-33,9,118-881,55.063,30:19,23-10,0,16
8,Offense--ari-2008,26.7,427,51,328,72,231,25,83-198,41.92,8-16,50.00,418-630,4674,7.7,292.1,31,15,28-201,340,1178,3.5,73.6,14,998,6053,378.3,"69-1,724",25.0,33-237,13.1,13-321,24.7,35.5,"60-2,509",25-28,17,107-781,48,30:10,24-13,0,16,2008,9,20.3,426,52,312,117,172,23,92-207,44.44,13-17,76.47,323-517,3540,7.2,221.3,36,13,31-191,445,1764,4.0,110.3,13,993,5495,343.4,"75-1,630",21.7,29-381,7.2,15-276,18.4,42.3,"60-2,777",21-27,10,98-816,51,29:53,26-15,0,16
10,Offense--ari-2009,23.4,375,46,317,77,215,25,69-190,36.32,5-9,55.56,392-594,4016,7.1,251.0,27,18,26-184,365,1494,4.1,93.4,16,985,5694,355.9,"61-1,248",20.5,45-308,10.5,21-338,16.1,41.3,"86-4,045",18-19,18,108-886,55,29:52,31-16,0,16,2009,11,15.4,323,38,289,81,188,20,82-232,35.35,12-24,50.00,346-593,3739,6.7,233.7,22,21,43-259,402,1804,4.5,112.8,13,1038,5802,362.6,"54-1,284",23.8,47-493,6.8,18-312,17.3,41.3,"84-3,774",19-25,24,104-840,52.5,30:07,20-6,0,16
12,Offense--ari-2010,18.1,289,31,241,67,154,20,58-209,27.75,7-18,38.89,285-561,2921,5.8,182.6,10,19,50-343,320,1388,4.3,86.8,9,931,4652,290.8,"51-1,234",24.2,42-294,13.1,17-424,24.9,38.5,"94-4,080",24-27,23,108-870,54,26:22,29-10,0,16,2010,13,20.7,434,45,339,123,178,38,87-233,37.34,9-17,52.94,324-533,3654,7.3,228.4,22,17,33-227,526,2323,4.4,145.2,19,1092,6204,387.8,"84-2,084",24.8,35-458,7.0,19-389,20.5,43.3,"64-3,064",40-51,12,108-894,55.875,33:57,21-10,0,16
14,Offense--ari-2011,19.5,312,37,286,83,175,28,66-205,32.20,9-15,60.00,307-550,3567,7.2,222.9,21,23,54-387,389,1625,4.2,101.6,12,993,5579,348.7,"52-1,300",25.0,46-696,12.2,10-117,11.7,38.4,"92-4,141",19-24,30,"106-1,004",62,28:43,23-8,0,16,2011,15,17.2,344,34,333,118,174,41,71-226,31.42,4-8,50.00,340-578,3696,6.9,231.0,17,10,42-304,475,1986,4.2,124.1,15,1095,5986,374.1,"52-1,246",24.0,50-610,15.1,23-296,12.9,36.9,"92-4,087",35-48,35,122-950,59.375,32:25,14-9,0,16
16,Offense--ari-2012,15.6,250,25,246,58,168,20,58-230,25.22,10-24,41.67,337-608,3005,5.6,187.8,11,21,58-378,352,1204,3.4,75.3,10,1018,4587,286.7,32-846,26.4,54-441,8.6,22-306,13.9,42.8,"112-5,209",25-28,45,102-857,53,29:19,24-10,0,16,2012,17,17.9,357,40,288,107,160,21,73-222,32.88,4-9,44.44,270-497,3213,6.9,200.8,20,22,38-228,506,2192,4.3,137.0,12,1041,5633,352.1,40-930,23.3,48-415,8.2,21-379,18.0,40.1,"92-4,166",25-35,50,100-810,50.625,31:19,17-8,0,16
18,Offense--ari-2013,23.7,379,41,329,84,205,40,74-210,35.24,5-9,55.56,363-574,4002,7.5,250.1,24,22,41-289,422,1540,3.6,96.3,12,1037,5831,364.4,"54-1,298",24.0,34-198,8.9,20-251,12.6,41.6,"78-3,566",30-36,38,97-744,46,31:00,21-9,0,16,2013,19,16.2,324,35,309,68,208,33,78-221,35.29,6-16,37.50,367-625,3728,6.5,233.0,29,20,47-337,370,1351,3.7,84.4,5,1042,5416,338.5,27-540,20.0,36-321,5.8,22-399,18.1,44.2,"88-4,084",25-32,59,111-960,60,29:17,20-8,0,16
