OFF_index,OFF_SeasonID,OFF_Total Points Per Game,OFF_Total Points,OFF_Total Touchdowns,OFF_Total 1st downs,OFF_Rushing 1st downs,OFF_Passing 1st downs,OFF_1st downs by penalty,OFF_3rd down efficiency,OFF_3rd down %,OFF_4th down efficiency,OFF_4th down %,OFF_Comp-Att,OFF_Net Passing Yards,OFF_Yards Per Pass Attempt,OFF_Net Passing Yards Per Game,OFF_Passing Touchdowns,OFF_Interceptions,OFF_Sacks-Yards Lost,OFF_Rushing Attempts,OFF_Rushing Yards,OFF_Yards Per Rush Attempt,OFF_Rushing Yards Per Game,OFF_Rushing Touchdowns,OFF_Total Offensive Plays,OFF_Total Yards,OFF_Yards Per Game,OFF_Kickoffs: Total,OFF_Average Kickoff Return Yards,OFF_Punt: Total,OFF_Average Punt Return Yards,OFF_INT: Total,OFF_Average Interception Yards,OFF_Net Average Punt Yards,OFF_Punt: Total Yards,OFF_FG: Good-Attempts,OFF_Touchback Percentage,OFF_Total-Yards,OFF_Avg. Per Game (YDS),OFF_Possession Time Seconds,OFF_Fumbles-Lost,OFF_Turnover Ratio,OFF_Games,DEF_index,DEF_Total Points Per Game,DEF_Total Points,DEF_Total Touchdowns,DEF_Total 1st downs,DEF_Rushing 1st downs,DEF_Passing 1st downs,DEF_1st downs by penalty,DEF_3rd down efficiency,DEF_3rd down %,DEF_4th down efficiency,DEF_4th down %,DEF_Comp-Att,DEF_Net Passing Yards,DEF_Yards Per Pass Attempt,DEF_Net Passing Yards Per Game,DEF_Passing Touchdowns,DEF_Interceptions,DEF_Sacks-Yards Lost,DEF_Rushing Attempts,DEF_Rushing Yards,DEF_Yards Per Rush Attempt,DEF_Rushing Yards Per Game,DEF_Rushing Touchdowns,DEF_Total Offensive Plays,DEF_Total Yards,DEF_Yards Per Game,DEF_Kickoffs: Total,DEF_Average Kickoff Return Yards,DEF_Punt: Total,DEF_Average Punt Return Yards,DEF_INT: Total,DEF_Average Interception Yards,DEF_Net Average Punt Yards,DEF_Punt: Total Yards,DEF_FG: Good-Attempts,DEF_Touchback Percentage,DEF_Total-Yards,DEF_Avg. Per Game (YDS),DEF_Possession Time Seconds,DEF_Fumbles-Lost,DEF_Turnover Ratio,DEF_Games
0,Offense--ari-2023,17.2,206,22,218,76,118,24,54-153,35.29,8-25,32.00,245-394,2109,6.0,175.8,10,9,33-241,305,1461,4.8,121.8,11,732,3811,317.6,10-180,18.0,21-207,10.2,9-98,10.9,42.0,"48-2,343",19-22,84,79-720,60,27:46,12-6,-1,17,1,26.8,321,38,270,101,146,23,71-151,47.02,6-13,46.15,261-372,2621,7.7,218.4,21,9,32-233,377,1681,4.5,140.1,16,781,4535,377.9,3-63,21.0,32-325,9.9,9-41,4.6,43.2,"42-2,020",19-23,82,73-599,49.917,32:13,7-5,161,17
2,Offense--atl-2023,19.4,213,21,224,90,119,15,62-148,41.89,6-14,42.86,216-343,2217,7.1,201.5,10,9,30-211,352,1532,4.4,139.3,10,725,3960,360.0,11-193,17.5,16-88,12.3,6-124,20.7,42.4,"46-2,196",22-23,85,59-528,48,30:17,11-9,-6,17,3,21.1,232,22,204,61,120,23,50-142,35.21,5-10,50.00,227-361,2300,6.8,209.1,17,6,22-149,304,1232,4.1,112.0,4,687,3681,334.6,7-153,21.9,20-245,5.5,9-139,15.4,45.9,"48-2,292",26-27,81,73-600,54.545,29:42,12-6,140,17
4,Offense--bal-2023,27.0,324,37,251,108,116,27,66-152,43.42,4-10,40.00,233-342,2490,7.8,207.5,14,5,29-166,390,1903,4.9,158.6,22,761,4559,379.9,8-153,19.1,22-276,13.8,11-171,15.5,40.8,"47-2,260",21-26,84,73-684,57,31:49,19-9,5,17,5,15.6,187,16,209,66,117,26,64-177,36.16,8-22,36.36,270-446,2060,5.5,171.7,10,11,47-374,286,1227,4.3,102.3,4,779,3661,305.1,10-220,22.0,22-304,12.5,5-54,10.8,41.6,"58-2,687",25-26,67,76-596,49.667,28:54,14-8,133,17
6,Offense--buf-2023,27.3,328,39,271,104,149,18,77-155,49.68,7-12,58.33,295-433,3131,7.4,260.9,24,13,15-83,332,1468,4.4,122.3,14,780,4682,390.2,11-239,21.7,21-186,12.4,11-84,7.6,39.4,"34-1,514",18-23,57,84-696,58,31:20,12-7,1,17,7,18.9,227,25,228,65,136,27,60-156,38.46,9-16,56.25,261-389,2439,6.9,203.3,16,11,41-235,300,1400,4.7,116.7,8,730,4074,339.5,23-470,20.4,14-173,8.9,13-71,5.5,45.2,"49-2,401",19-20,72,75-582,48.5,29:20,19-10,161,17
8,Offense--car-2023,15.7,173,17,205,67,111,27,60-161,37.27,15-26,57.69,251-409,1906,5.5,173.3,11,8,43-339,267,1019,3.8,92.6,3,719,3264,296.7,15-447,29.8,25-231,6.7,5-202,40.4,44.7,"52-2,456",18-21,59,74-590,53,30:54,13-6,-7,17,9,26.5,292,35,215,84,112,19,48-137,35.04,6-8,75.00,211-322,1976,6.5,179.6,13,5,18-126,326,1374,4.2,124.9,18,666,3476,316.0,13-322,24.8,20-134,9.2,8-165,20.6,44.5,"51-2,498",16-16,75,67-491,44.636,29:05,5-2,151,17
10,Offense--chi-2023,20.2,242,25,233,98,125,10,71-164,43.29,10-19,52.63,237-365,2227,6.7,185.6,15,12,35-219,376,1652,4.4,137.7,9,776,4098,341.5,14-299,21.4,11-79,14.7,13-117,9.0,38.3,"42-1,919",23-25,80,80-699,58,31:43,18-9,-4,17,11,24.7,296,34,225,58,147,20,70-152,46.05,8-15,53.33,297-434,2874,6.9,239.5,23,13,17-105,275,948,3.4,79.0,6,726,3927,327.3,9-226,25.1,21-309,7.2,12-131,10.9,44.3,"40-1,849",19-25,74,51-395,32.917,28:16,13-4,145,17
12,Offense--cin-2023,19.3,212,23,202,52,129,21,48-139,34.53,5-11,45.46,271-406,2375,6.4,215.9,17,7,31-229,220,834,3.8,75.8,4,657,3438,312.5,13-302,23.2,21-272,6.9,12-110,9.2,41.9,"54-2,401",17-21,78,55-463,42,29:33,7-2,10,17,13,22.0,242,25,241,88,133,20,61-138,44.20,2-8,25.00,230-361,2746,8.1,249.6,13,12,28-169,307,1536,5.0,139.6,12,696,4451,404.6,7-120,17.1,20-138,13.0,7-57,8.1,40.7,"42-1,982",22-23,75,60-552,50.182,30:26,12-7,135,17
14,Offense--cle-2023,21.7,239,22,216,88,103,25,52-166,31.33,9-18,50.00,217-391,1993,5.7,181.2,9,13,33-225,367,1534,4.2,139.5,11,791,3752,341.1,7-162,23.1,30-247,10.7,9-78,8.7,45.4,"55-2,773",28-31,64,71-572,52,33:18,20-10,-7,17,15,19.0,209,25,142,55,71,16,38-140,27.14,4-7,57.14,159-286,1562,6.3,142.0,10,9,34-237,281,1165,4.1,105.9,12,601,2964,269.5,15-272,18.1,26-277,8.2,13-216,16.6,44.4,"73-3,487",11-16,83,77-659,59.909,26:41,13-7,140,17
16,Offense--dal-2023,32.3,388,44,280,82,166,32,80-165,48.49,8-17,47.06,303-431,3161,7.8,263.4,26,7,27-187,341,1404,4.1,117.0,11,799,4752,396.0,13-290,22.3,16-92,8.1,13-249,19.2,46.8,"31-1,580",26-26,94,90-764,63,32:03,9-3,8,17,17,18.3,220,27,211,68,112,31,58-157,36.94,13-27,48.15,218-366,2173,6.6,181.1,17,13,38-237,313,1272,4.1,106.0,10,717,3682,306.8,3-93,31.0,16-130,5.8,7-99,14.1,44.3,"48-2,263",11-15,72,78-717,59.75,27:56,13-5,139,17
18,Offense--den-2023,22.4,246,25,194,69,99,26,53-137,38.69,4-9,44.44,218-319,2035,6.9,185.0,20,4,33-164,286,1271,4.4,115.5,3,638,3470,315.5,7-235,33.6,10-188,6.5,10-81,8.1,42.3,"44-1,999",24-26,91,76-566,51,28:55,14-10,8,17,19,25.5,280,31,238,84,129,25,46-127,36.22,12-24,50.00,250-365,2563,7.5,233.0,19,10,23-174,316,1707,5.4,155.2,11,704,4444,404.0,3-53,17.7,21-136,18.8,4-20,5.0,42.8,"26-1,302",20-23,85,81-747,67.909,31:04,25-12,128,17
