season,away_team,away_score,home_team,home_score,div_game,away_summary,home_summary
1999,min,17.0,atl,14.0,0,min_17.0,atl_14.0
1999,kc,17.0,chi,20.0,0,kc_17.0,chi_20.0
1999,pit,43.0,cle,0.0,1,pit_43.0,cle_0.0
1999,oak,24.0,gb,28.0,0,oak_24.0,gb_28.0
1999,buf,14.0,ind,31.0,1,buf_14.0,ind_31.0
1999,sf,3.0,jax,41.0,0,sf_3.0,jax_41.0
1999,car,10.0,no,19.0,1,car_10.0,no_19.0
1999,ne,30.0,nyj,28.0,1,ne_30.0,nyj_28.0
1999,ari,25.0,phi,24.0,1,ari_25.0,phi_24.0
1999,det,28.0,sea,20.0,0,det_28.0,sea_20.0
1999,bal,10.0,stl,27.0,0,bal_10.0,stl_27.0
1999,nyg,17.0,tb,13.0,0,nyg_17.0,tb_13.0
1999,cin,35.0,ten,36.0,1,cin_35.0,ten_36.0
1999,dal,41.0,was,35.0,1,dal_41.0,was_35.0
1999,mia,38.0,den,21.0,0,mia_38.0,den_21.0
1999,pit,23.0,bal,20.0,1,pit_23.0,bal_20.0
1999,nyj,3.0,buf,17.0,1,nyj_3.0,buf_17.0
1999,jax,22.0,car,20.0,0,jax_22.0,car_20.0
1999,sea,14.0,chi,13.0,0,sea_14.0,chi_13.0
1999,sd,34.0,cin,7.0,0,sd_34.0,cin_7.0
1999,gb,15.0,det,23.0,1,gb_15.0,det_23.0
1999,den,10.0,kc,26.0,1,den_10.0,kc_26.0
1999,ari,16.0,mia,19.0,0,ari_16.0,mia_19.0
1999,oak,22.0,min,17.0,0,oak_22.0,min_17.0
1999,ind,28.0,ne,31.0,1,ind_28.0,ne_31.0
1999,was,50.0,nyg,21.0,1,was_50.0,nyg_21.0
1999,tb,19.0,phi,5.0,0,tb_19.0,phi_5.0
1999,no,21.0,sf,28.0,1,no_21.0,sf_28.0
1999,cle,9.0,ten,26.0,1,cle_9.0,ten_26.0
1999,atl,7.0,dal,24.0,0,atl_7.0,dal_24.0
1999,cle,10.0,bal,17.0,1,cle_10.0,bal_17.0
1999,phi,0.0,buf,26.0,0,phi_0.0,buf_26.0
1999,cin,3.0,car,27.0,0,cin_3.0,car_27.0
1999,min,20.0,gb,23.0,1,min_20.0,gb_23.0
1999,ten,20.0,jax,19.0,1,ten_20.0,jax_19.0
1999,det,21.0,kc,31.0,0,det_21.0,kc_31.0
1999,nyg,14.0,ne,16.0,0,nyg_14.0,ne_16.0
1999,was,27.0,nyj,20.0,0,was_27.0,nyj_20.0
1999,chi,17.0,oak,24.0,0,chi_17.0,oak_24.0
1999,sea,29.0,pit,10.0,0,sea_29.0,pit_10.0
1999,ind,27.0,sd,19.0,0,ind_27.0,sd_19.0
1999,atl,7.0,stl,35.0,1,atl_7.0,stl_35.0
1999,den,10.0,tb,13.0,0,den_10.0,tb_13.0
1999,sf,24.0,ari,10.0,0,sf_24.0,ari_10.0
1999,bal,19.0,atl,13.0,0,bal_19.0,atl_13.0
1999,no,10.0,chi,14.0,0,no_10.0,chi_14.0
1999,stl,38.0,cin,10.0,0,stl_38.0,cin_10.0
1999,ne,19.0,cle,7.0,0,ne_19.0,cle_7.0
1999,ari,7.0,dal,35.0,1,ari_7.0,dal_35.0
1999,nyj,21.0,den,13.0,0,nyj_21.0,den_13.0
1999,tb,14.0,min,21.0,1,tb_14.0,min_21.0
1999,phi,15.0,nyg,16.0,1,phi_15.0,nyg_16.0
1999,jax,17.0,pit,3.0,1,jax_17.0,pit_3.0
1999,kc,14.0,sd,21.0,1,kc_14.0,sd_21.0
1999,oak,21.0,sea,22.0,1,oak_21.0,sea_22.0
1999,ten,22.0,sf,24.0,0,ten_22.0,sf_24.0
1999,car,36.0,was,38.0,0,car_36.0,was_38.0
1999,buf,23.0,mia,18.0,1,buf_23.0,mia_18.0
1999,nyg,3.0,ari,14.0,1,nyg_3.0,ari_14.0
1999,pit,21.0,buf,24.0,0,pit_21.0,buf_24.0
1999,cin,18.0,cle,17.0,1,cin_18.0,cle_17.0
1999,sd,20.0,det,10.0,0,sd_20.0,det_10.0
1999,tb,23.0,gb,26.0,1,tb_23.0,gb_26.0
1999,mia,34.0,ind,31.0,1,mia_34.0,ind_31.0
1999,ne,14.0,kc,16.0,0,ne_14.0,kc_16.0
1999,chi,24.0,min,22.0,1,chi_24.0,min_22.0
1999,atl,20.0,no,17.0,1,atl_20.0,no_17.0
1999,den,16.0,oak,13.0,1,den_16.0,oak_13.0
1999,dal,10.0,phi,13.0,1,dal_10.0,phi_13.0
1999,sf,20.0,stl,42.0,1,sf_20.0,stl_42.0
1999,bal,11.0,ten,14.0,1,bal_11.0,ten_14.0
1999,jax,16.0,nyj,6.0,0,jax_16.0,nyj_6.0
1999,was,24.0,ari,10.0,1,was_24.0,ari_10.0
1999,stl,41.0,atl,13.0,1,stl_41.0,atl_13.0
1999,oak,20.0,buf,14.0,0,oak_20.0,buf_14.0
1999,phi,20.0,chi,16.0,0,phi_20.0,chi_16.0
1999,pit,17.0,cin,3.0,1,pit_17.0,cin_3.0
1999,gb,10.0,den,31.0,0,gb_10.0,den_31.0
1999,min,23.0,det,25.0,1,min_23.0,det_25.0
1999,cle,7.0,jax,24.0,1,cle_7.0,jax_24.0
1999,mia,31.0,ne,30.0,1,mia_31.0,ne_30.0
1999,ten,24.0,no,21.0,0,ten_24.0,no_21.0
1999,ind,16.0,nyj,13.0,1,ind_16.0,nyj_13.0
1999,sea,10.0,sd,13.0,1,sea_10.0,sd_13.0
1999,car,31.0,sf,29.0,1,car_31.0,sf_29.0
1999,dal,10.0,nyg,13.0,1,dal_10.0,nyg_13.0
1999,kc,35.0,bal,8.0,0,kc_35.0,bal_8.0
1999,det,24.0,car,9.0,0,det_24.0,car_9.0
1999,was,20.0,dal,38.0,1,was_20.0,dal_38.0
